mac,ssid,lat,lon,rssi_avg
08:3E:5D:27:5C:40,Bbox-97B9F87C,48.81519699,1.90139377,
08:3E:5D:BA:A4:12,Livebox-A412,48.81498718,1.90112114,
08:87:C6:71:09:D0,Bbox_1980W,48.81520844,1.90148008,
10:D7:B0:C9:53:40,Bbox-38CDB671,48.81526184,1.90147984,
20:9A:7D:30:82:B0,Livebox-82B0,48.81537247,1.90241504,
28:9E:FC:72:9F:20,Livebox-9F20,48.81540298,1.90151381,
2C:08:23:11:08:C2,Livebox-6500,48.81507874,1.90123367,
2C:79:D7:2F:0F:D0,Bbox-bousso,48.81537247,1.90241504,
30:93:BC:86:07:60,ROMARIN,48.8154335,1.90155852,
30:93:BC:9E:81:80,Livebox-8180,48.81523895,1.90143073,
30:D3:2D:AE:1E:13,devolo-e13,48.81557846,1.8995657,
34:12:98:04:AC:1C,Bbox_1980W,48.81519318,1.90144205,
34:27:92:46:6B:30,antoinerobin,48.81498718,1.90112114,
34:27:92:46:6B:32,FreeWifi_secure,48.81525803,1.90040982,
34:27:92:A7:CE:8C,FreeboxKM,48.81498718,1.90112114,
34:27:92:A7:CE:8E,FreeWifi_secure,48.81498718,1.90112114,
34:27:92:C8:27:04,Freebox-47CF21,48.81545258,1.90154159,
38:35:FB:C6:E3:F4,Bbox-61B053FD,48.81721497,1.92019343,
38:35:FB:CB:6D:30,Bbox-9F08909A,48.81527328,1.90145767,
40:65:A3:50:92:10,Bbox-D8E31176,48.81545258,1.90154159,
40:BD:32:4F:A6:3B,Bose ST 10 (5EAB16),48.8151741,1.90150785,
44:CE:7D:A0:A1:F6,SFR_A1F0,48.8151474,1.90138102,
44:D4:54:70:E0:E6,Bbox-25C68B8A,48.81505585,1.90124261,
48:83:C7:3E:8E:22,Livebox-8E22,48.81541824,1.90157342,
5C:33:8E:06:3D:A9,Livebox-2cd8,48.81522369,1.9014616,
5C:33:8E:06:BC:A7,Livebox-da18,48.81517029,1.90149248,
5C:33:8E:C1:AB:AB,Livebox-25a6,48.81498718,1.90112114,
60:8D:26:90:21:20,Livebox-2120,48.81545258,1.90154159,
62:CE:7D:A0:A1:F5,SFR WiFi Mobile,48.81505966,1.90124714,
62:CE:7D:A0:A1:F7,SFR WiFi FON,48.81512833,1.9013238,
64:51:06:18:17:91,DIRECT-90-HP ENVY 5640 series,48.8151474,1.90143633,
68:A3:78:16:21:79,Cerberus2,48.81498718,1.90112114,
68:A3:78:5D:8B:66,FreeWifi_secure,48.81537247,1.90241504,
68:A3:78:D0:23:68,kiki_wifi,48.81540298,1.90151381,
68:A3:78:D0:23:6A,FreeWifi_secure,48.81540298,1.90151381,
70:FC:8F:3A:10:82,Freebox-3A1081,48.81557846,1.89956892,
70:FC:8F:3A:10:84,FreeWifi_secure,48.81557846,1.89956903,
70:FC:8F:48:A2:8F,freebox_VSKMAB,48.81525421,1.90152431,
70:FC:8F:48:A2:91,FreeWifi_secure,48.81525421,1.90152431,
70:FC:8F:55:53:3C,Freebox-55533B,48.81508255,1.90125895,
70:FC:8F:55:53:3E,FreeWifi_secure,48.81504822,1.90123904,
72:5D:51:C4:F1:57,SFR WiFi FON,48.81537247,1.90241504,
8C:C5:B4:99:98:80,Livebox-9880,48.81545258,1.90154159,
92:36:77:4A:E9:6D,Partage,48.81528473,1.90146279,
9C:B6:54:55:5A:33,HP-Print-33-Officejet Pro 8600,48.81537247,1.90241504,
A0:8C:FD:43:8F:69,DIRECT-68-HP ENVY 4520 series,48.81540298,1.90151381,
AC:84:C9:0E:F5:08,Livebox-F508,48.81537247,1.90241504,
B0:38:29:1B:91:10,Omni10_Setup_110,48.81537247,1.90241504,
B0:BB:E5:04:57:30,Bbox-B6B580A1,48.81537247,1.90241504,
B0:BB:E5:08:48:30,Bbox-3353B1D7,48.81537247,1.90241504,
B4:C7:99:0C:21:40,*Forum_des_halles,48.81663132,1.91959524,
B4:C7:99:0C:21:41,cartefidelite,48.81663132,1.91959524,
B8:EC:A3:F6:54:57,neauphle,48.81557846,1.89956892,
B8:EC:A3:F6:54:69,neauphle,48.81557846,1.89957166,
C8:D3:FF:FA:ED:41,DIRECT-40-HP ENVY 4520 series,48.81537247,1.90241504,
CC:19:A8:A4:4F:00,SFR_4EFF,48.81537247,1.90241504,
D0:6E:DE:BB:1B:D0,Bbox-66E8E923,48.81520081,1.90138113,
D4:F8:29:40:96:60,Livebox-9660,48.81515503,1.90142071,
D4:F8:29:6C:65:00,Livebox-6500,48.8151741,1.90143657,
D4:F8:29:95:06:60,LaBauleBox,48.81545258,1.90154159,
D8:07:B6:4E:E4:6F,TP-Link_E46F,48.81527328,1.90200245,
DE:07:B6:4E:E4:6F,,48.8152771,1.90145922,
E4:9E:12:13:1F:AD,FreeWifi_secure,48.81525421,1.90152431,
E4:9E:12:79:E9:3D,FreeWifi_secure,48.81537247,1.90241504,
E8:D8:D1:2B:12:96,DIRECT-95-HP DeskJet 2600 series,48.81537247,1.90241504,
EC:8E:B5:AD:19:BB,DIRECT-BA-HP ENVY 5640 series,48.81537247,1.90241504,
EC:BE:DD:ED:D4:A0,Bbox-B0E47AA8,48.8151741,1.90150785,
F0:81:75:12:69:00,Mickael-Rebecca,48.81541824,1.90157342,
F8:AB:05:19:8C:D0,Bbox-Seb,48.81541824,1.90157342,
